Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2025-11-26 02:31:07,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00708836702939146526910889853382,0.0080875500506868344292491472156898596672,supercharger_reward_to_app_credited,
2025-11-25 01:17:09,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.0065403810774942299862140396262,0.007462319472943651039531557417387193152,supercharger_reward_to_app_credited,
2025-11-24 21:30:29,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00601904188456256339432393722091,0.0068674918068907115104486979625492056736,supercharger_reward_to_app_credited,
2025-11-24 19:51:47,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00600587548595418027946465005271,0.0068524694600947480476710554102040522016,supercharger_reward_to_app_credited,
2025-11-24 16:04:39,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00601904188456256339432393722091,0.0068674918068907115104486979625492056736,supercharger_reward_to_app_credited,
2025-11-24 15:02:10,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00600587548595418027946465005271,0.0068524694600947480476710554102040522016,supercharger_reward_to_app_credited,
2025-11-23 19:09:09,Received from Nancy M. Munoz Cardona,CRO,500.0,CRO,-500.0,EUR,45.76,52.2103735296,transfer.p2p_transfer.crypto_wallet.crypto_wallet.credit,
2025-11-23 19:08:14,Sent to Nancy,CRO,-500.0,CRO,500.0,EUR,-45.81,-52.2674215776,transfer.p2p_transfer.crypto_wallet.crypto_wallet.debit,
2025-11-23 19:06:34,Sent to Nancy,CRO,-193.3,CRO,193.3,EUR,-17.71,-20.2064186016,transfer.p2p_transfer.crypto_wallet.crypto_wallet.debit,
2025-11-23 19:05:03,Received from Nancy M. Munoz Cardona,CRO,193.3,CRO,-193.3,EUR,17.68,20.1721897728,transfer.p2p_transfer.crypto_wallet.crypto_wallet.credit,
2025-11-23 19:04:13,Supercharger Withdrawal (via app),CRO,1667.3,,,EUR,152.47557963594720620270204955361944,173.9686837179867748983528850526652077370624,supercharger_withdrawal,
2025-11-23 19:00:59,Sent to Nancy,CRO,-193.3,CRO,193.3,EUR,-17.64,-20.1265513344,transfer.p2p_transfer.crypto_wallet.crypto_wallet.debit,
2025-11-23 18:59:48,Received from Nancy M. Munoz Cardona,CRO,138.3,CRO,-138.3,EUR,12.62,14.3989273152,transfer.p2p_transfer.crypto_wallet.crypto_wallet.credit,
2025-11-23 18:58:29,Received from Nancy M. Munoz Cardona,CRO,55.0,CRO,-55.0,EUR,5.01,5.7162144096,transfer.p2p_transfer.crypto_wallet.crypto_wallet.credit,
2025-11-20 01:10:09,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00818674689302235594361608623598,0.0093407585943398045388899156232465273408,supercharger_reward_to_app_credited,
2025-11-19 01:11:07,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00817742241437669478116925893493,0.0093301197282327514791498675968863103328,supercharger_reward_to_app_credited,
2025-11-18 01:06:21,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00814185673622474023051032465541,0.0092895406779454463891536813087482627936,supercharger_reward_to_app_credited,
2025-11-17 01:11:08,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.0074780347585410539980167951027,0.008532145717018369168989080636499890592,supercharger_reward_to_app_credited,
2025-11-16 01:06:36,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00744093749007602127727909143793,0.0084898191819771277095047783549483932128,supercharger_reward_to_app_credited,
2025-11-15 01:10:13,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00766629956150244144791415677229,0.0087469485073394046367559263085024997984,supercharger_reward_to_app_credited,
2025-11-14 01:08:14,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.0079422700957856242552431762973,0.009061820113066857804461539461616653408,supercharger_reward_to_app_credited,
2025-11-13 01:09:10,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00865439022582472783939112561487,0.0098743213802715982673704244970226654752,supercharger_reward_to_app_credited,
2025-11-12 01:27:12,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00861764452066448218492240554333,0.0098323959652360874316119653542271183968,supercharger_reward_to_app_credited,
2025-11-12 00:30:25,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00669815584837083330947073125843,0.0076423343269868004087737026285203008928,supercharger_reward_to_app_credited,
2025-11-11 01:11:09,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.0100787822621796310174800359163,0.011499497085487443498149798559896127648,supercharger_reward_to_app_credited,
2025-11-11 00:31:15,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00697587106096839035587456876017,0.0079591965425587131900933896121895729632,supercharger_reward_to_app_credited,
2025-11-10 01:12:32,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.01049638150912604054337357193675,0.01197596152317869597936643227558333928,supercharger_reward_to_app_credited,
2025-11-10 00:32:11,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00702373493687267869735557418721,0.0080138073563597908843063653859903413216,supercharger_reward_to_app_credited,
2025-11-09 00:34:08,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00661413801093734707366385305074,0.0075464732545315660170207004940712391104,supercharger_reward_to_app_credited,
2025-11-08 05:26:03,Supercharger Deposit (via app),CRO,-129.8,,,EUR,13.98367655812972336105341075584982,15.9548290300931849705619261472687362430272,supercharger_deposit,
2025-11-08 00:33:06,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00664702970132204692200564098293,0.0075840013891689159252966012612991564128,supercharger_reward_to_app_credited,
2025-11-07 06:48:33,Card Cashback,CRO,14.03859305,,,EUR,1.57,1.7913087072,referral_card_cashback,
2025-11-07 06:04:02,Card Cashback,CRO,5.68577392,,,EUR,0.64,0.7302150144,referral_card_cashback,
2025-11-07 00:32:12,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00640965260484442192860735450167,0.0073131633892897922943088986552857248032,supercharger_reward_to_app_credited,
2025-11-06 14:55:43,Card Cashback,CRO,0.07998852,,,EUR,0.01,0.0114096096,referral_card_cashback,
2025-11-06 00:30:19,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00669837660925836532603485997994,0.0076425862065409693904234468361779231424,supercharger_reward_to_app_credited,
2025-11-05 20:10:44,Card Cashback,CRO,23.10097833,,,EUR,2.64,3.0121369344,referral_card_cashback,
2025-11-05 16:25:11,Card Cashback,CRO,4.26245628,,,EUR,0.46,0.5248420416,referral_card_cashback,
2025-11-05 12:06:55,Card Cashback,CRO,0.24369989,,,EUR,0.03,0.0342288288,referral_card_cashback,
2025-11-05 07:04:12,Card Cashback,CRO,0.08007691,,,EUR,0.01,0.0114096096,referral_card_cashback,
2025-11-05 00:34:10,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00634494466900774355033565905772,0.0072393341606979573286247818807289066112,supercharger_reward_to_app_credited,
2025-11-04 17:38:29,Card Cashback,CRO,4.16509639,,,EUR,0.46,0.5248420416,referral_card_cashback,
2025-11-04 09:20:53,Mystery Box Rewards,CRO,0.9,,,EUR,0.09,0.1026864864,rewards_platform_deposit_credited,
2025-11-04 09:10:57,Card Cashback,CRO,0.78588038,,,EUR,0.09,0.1026864864,referral_card_cashback,
2025-11-04 05:06:42,Card Cashback,CRO,12.01110622,,,EUR,1.4,1.597345344,referral_card_cashback,
2025-11-04 00:30:35,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00701850612033862094236256246319,0.0080078414808274284754740939360612270624,supercharger_reward_to_app_credited,
2025-11-03 16:58:53,Card Cashback,CRO,1.33092011,,,EUR,0.16,0.1825537536,referral_card_cashback,
2025-11-03 12:43:24,Card Cashback,CRO,0.07216778,,,EUR,0.01,0.0114096096,referral_card_cashback,
2025-11-03 06:57:00,Card Cashback,CRO,5.46892814,,,EUR,0.67,0.7644438432,referral_card_cashback,
2025-11-03 00:30:28,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.0076421019268658248496644460581,0.008719339950894681311665002052317991776,supercharger_reward_to_app_credited,
2025-11-02 11:24:38,Card Cashback,CRO,1.08674776,,,EUR,0.14,0.1597345344,referral_card_cashback,
2025-11-02 11:13:36,Card Cashback,CRO,33.85517897,,,EUR,4.36,4.9745897856,referral_card_cashback,
2025-11-02 00:55:00,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00758228555163818186196431757663,0.0086510918019912295498813952679766383648,supercharger_reward_to_app_credited,
2025-11-01 06:40:43,Card Cashback Reversal,CRO,-48.47353312,,,EUR,4.64,5.2940588544,card_cashback_reverted,
2025-11-01 06:40:43,Card Cashback,CRO,71.04906748,,,EUR,9.2,10.496840832,referral_card_cashback,
2025-11-01 00:56:19,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00753929620013926471969787732039,0.0086020426302352476082806210174344019744,supercharger_reward_to_app_credited,
2025-10-31 22:23:42,Supercharger Deposit (via app),CRO,-193.8,,,EUR,23.70234822594492357334898800060255,27.043453986128416907374891764195966026448,supercharger_deposit,
2025-10-31 00:56:11,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00745046762209473982799287283757,0.0085006926905541315650969830659117912672,supercharger_reward_to_app_credited,
2025-10-30 00:54:22,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00764033096412874753259493486567,0.0087173193515500613483871481754723142432,supercharger_reward_to_app_credited,
2025-10-29 01:02:23,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00767255425135454475194096937649,0.0087540848642775626805375302831306318304,supercharger_reward_to_app_credited,
2025-10-28 00:57:14,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00794614714415487457058578399192,0.0090662436738962040787351438657736754432,supercharger_reward_to_app_credited,
2025-10-27 00:59:18,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00812101869017431502801540351441,0.0092657652809192290417068816885886074336,supercharger_reward_to_app_credited,
2025-10-26 00:58:27,CRO Pool Rewards,ETH,0.0000023,,,EUR,0.00768955517397879698335484648959,0.0087734822532758152257736496714152364064,supercharger_reward_to_app_credited,
